quote,movie,year,length
"I used to think that my life was a tragedy. But now I realize, it's a comedy.",Joker,2019,77
God creates dinosaurs. God destroys dinosaurs.,Jurassic Park,1993,46
Your scientists were so preoccupied with whether or not they could.,Jurassic Park,1993,67
"Yesterday is history, tomorrow is a mystery, but today is a gift.",Kung Fu Panda,2008,65
People love what other people are passionate about.,La La Land,2016,51
"Here's to the ones who dream, foolish as they may seem.",La La Land,2016,55
Don't you think maybe they are the same thing? Love and attention?,Lady Bird,2017,66
"The trick, William Potter, is not minding that it hurts.",Lawrence of Arabia,1962,56
The rules of hair care are simple and finite.,Legally Blonde,2001,45
Some people hear their own inner voices with great clearness.,Legends of the Fall,1994,61
"I'm not afraid of storms, for I'm learning how to sail my ship.",Little Women,2019,63
It's a deep subject for such a shallow mind.,"Lock, Stock and Two Smoking Barrels",1998,44
"You can die for your country, I'm gonna live for mine.",Lone Survivor,2013,54
"For relaxing times, make it Suntory time.",Lost in Translation,2003,41
"Whenever I get gloomy with the state of the world, I think about the arrivals gate at Heathrow.",Love Actually,2003,95
"Hope is a mistake. If you can't fix what's broken, you'll go insane.",Mad Max: Fury Road,2015,68
It's not as simple as not being in love anymore.,Marriage Story,2019,48
A spoonful of sugar helps the medicine go down.,Mary Poppins,1964,47
"A person is smart. People are dumb, panicky, dangerous animals.",Men in Black,1997,63
"To make a fighter, you gotta strip them down to bare wood.",Million Dollar Baby,2004,58
"Your mission, should you choose to accept it.",Mission: Impossible,1996,45
Put that thing back where it came from or so help me.,"Monsters, Inc.",2001,53
The greatest thing you'll ever learn is just to love and be loved in return.,Moulin Rouge!,2001,76
"I'm as mad as hell, and I'm not going to take this anymore!",Network,1976,59
What's the most you ever lost on a coin toss?,No Country for Old Men,2007,45
"If the rule you followed brought you to this, of what use was the rule?",No Country for Old Men,2007,71
I have a job. I have a secretary. I have a mother. I have two ex-wives.,North by Northwest,1959,71
"I'm just a girl, standing in front of a boy, asking him to love her.",Notting Hill,1999,68
"Yeah, I'm gonna need you to come in on Saturday.",Office Space,1999,48
Sounds like somebody's got a case of the Mondays.,Office Space,1999,49
"I coulda been somebody, instead of a bum, which is what I am.",On the Waterfront,1954,61
You don't understand! I could've had class. I could've been a contender.,On the Waterfront,1954,72
"Anybody accuses me of crying, I'll slap the Mexican right out of you.",Once Upon a Time in Hollywood,2019,69
"If you leave something behind, you gain something too.",Past Lives,2023,54
Americans love a winner. Americans will not tolerate a loser.,Patton,1970,61
The problem is not the problem. The problem is your attitude about the problem.,Pirates of the Caribbean: The Curse of the Black Pearl,2003,79
You will always remember this as the day you almost caught Captain Jack Sparrow!,Pirates of the Caribbean: The Curse of the Black Pearl,2003,80
"I think now, looking back, we did not fight the enemy. We fought ourselves.",Platoon,1986,75
"Blane? His name is Blane? That's a major appliance, that's not a name!",Pretty in Pink,1986,70
"I'm gonna treat you so nice, you're never gonna let me go.",Pretty Woman,1990,58
"Pretty please, with sugar on top. Clean the fucking car.",Pulp Fiction,1994,56
You know what they call a Quarter Pounder with Cheese in Paris?,Pulp Fiction,1994,63
The path of the righteous man is beset on all sides by the iniquities of the selfish.,Pulp Fiction,1994,85
"It's not the years, honey, it's the mileage.",Raiders of the Lost Ark,1981,44
"If you focus on what you have left behind, you will never see what lies ahead.",Ratatouille,2007,78
"Not everyone can become a great artist, but a great artist can come from anywhere.",Ratatouille,2007,82
"Are you gonna bark all day, little doggy, or are you gonna bite?",Reservoir Dogs,1992,64
Many Bothans died to bring us this information.,Return of the Jedi,1983,47
"It's over Anakin, I have the high ground.",Revenge of the Sith,2005,41
You gotta kill the person you were born to be in order to become the person you wanna be.,Rocketman,2019,89
The world ain't all sunshine and rainbows. It's a very mean and nasty place.,Rocky Balboa,2006,76
"Going in one more round when you don't think you can, that is what makes all the difference.",Rocky Balboa,2006,92
It ain't about how hard you hit. It's about how hard you can get hit and keep moving forward.,Rocky Balboa,2006,93
"If I can change, and you can change, everybody can change!",Rocky IV,1985,58
"Whoever saves one life, saves the world entire.",Schindler's List,1993,47
The list is an absolute good. The list is life.,Schindler's List,1993,47
"Power is when we have every justification to kill, and we don't.",Schindler's List,1993,64
You're not hardcore unless you live hardcore.,School of Rock,2003,45
I pledge allegiance to the band of Mr. Schneebly.,School of Rock,2003,49
"The more I know of the world, the more I am convinced I shall never see a man whom I can love.",Sense and Sensibility,1995,94
"It was like coming home, only to no home I'd ever known.",Sleepless in Seattle,1993,56
All my life I've had this stupid hope that I would meet the love of my life.,Sleepless in Seattle,1993,76
"With great power, there must also come great responsibility.",Spider-Man: No Way Home,2021,60
"If it takes a village to raise a child, it takes a village to abuse one.",Spotlight,2015,72
I never had any friends later on like the ones I had when I was twelve.,Stand by Me,1986,71
"From my point of view, the Jedi are evil.",Star Wars: Episode III,2005,41
"So this is how liberty dies, with thunderous applause.",Star Wars: Episode III,2005,54
I am big. It's the pictures that got small.,Sunset Boulevard,1950,43
Someday a real rain will come and wash all this scum off the streets.,Taxi Driver,1976,69
You talking to me? You talking to me? Then who the hell else are you talking to?,Taxi Driver,1976,80
"There was an idea, called the Avengers Initiative.",The Avengers,2012,50
"Everything will be all right in the end. If it's not all right, then it's not yet the end.",The Best Exotic Marigold Hotel,2011,90
"Forget it, Donny, you're out of your element.",The Big Lebowski,1998,45
"Don't you go pissing on my rug, Mr. Lebowski.",The Big Lebowski,1998,45
"Yeah, well, that's just, like, your opinion, man.",The Big Lebowski,1998,49
This is what happens when you find a stranger in the Alps!,The Big Lebowski,1998,58
The truth is like poetry. And most people fucking hate poetry.,The Big Short,2015,62
They're not gonna catch us. We're on a mission from God.,The Blues Brothers,1980,56
I can tell you the license plate of all six cars outside.,The Bourne Identity,2002,57
We're all pretty bizarre. Some of us are just better at hiding it.,The Breakfast Club,1985,66
Money won is twice as sweet as money earned.,The Color of Money,1986,44
"I'm pore, I'm black, I may even be ugly. But, dear God, I'm here. I'm here.",The Color Purple,1985,75
This city deserves a better class of criminal.,The Dark Knight,2008,46
"If you're good at something, never do it for free.",The Dark Knight,2008,50
"Madness, as you know, is like gravity. All it takes is a little push.",The Dark Knight,2008,69
"The night is darkest just before the dawn. And I promise you, the dawn is coming.",The Dark Knight,2008,81
"You either die a hero, or you live long enough to see yourself become the villain.",The Dark Knight,2008,82
"When you decide to be something, you can be it.",The Departed,2006,47
We have a saying in South Boston: act accordingly.,The Departed,2006,50
I'm the guy who does his job. You must be the other guy.,The Departed,2006,56
Everybody wants this. Everybody wants to be us.,The Devil Wears Prada,2006,47
"By all means, move at a glacial pace. You know how that thrills me.",The Devil Wears Prada,2006,67
"How can you ever smile, as if your life hadn't capsized?",The English Patient,1996,56
"It's not personal, Sonny. It's strictly business.",The Godfather,1972,49
A man who doesn't spend time with his family can never be a real man.,The Godfather,1972,69
"I know it was you, Fredo. You broke my heart.",The Godfather Part II,1974,45
"Keep your friends close, but your enemies closer.",The Godfather Part II,1974,49
"When you have to shoot, shoot. Don't talk.","The Good, the Bad and the Ugly",1966,42
"There are two kinds of people in this world, my friend.","The Good, the Bad and the Ugly",1966,55
"Two kinds of people: those with loaded guns, and those who dig.","The Good, the Bad and the Ugly",1966,63
"Mrs. Robinson, you're trying to seduce me. Aren't you?",The Graduate,1967,54
"You see, there are still faint glimmers of civilization left in this barbaric slaughterhouse.",The Grand Budapest Hotel,2014,93
"So we beat on, boats against the current, borne back ceaselessly into the past.",The Great Gatsby,2013,79
No one ever made a difference by being like everyone else.,The Greatest Showman,2017,58
"It's not a purse, it's a satchel. Indiana Jones wears one.",The Hangover,2009,58
Justice delivered without dispassion is always in danger of not being justice.,The Hateful Eight,2015,78
"What makes a monster, and what makes a man?",The Hunchback of Notre Dame,1996,43
Hope is the only thing stronger than fear. A little hope is effective.,The Hunger Games,2012,70
Sometimes it is the people no one imagines anything of who do the things that no one can imagine.,The Imitation Game,2014,97
"I never look back, darling. It distracts from the now.",The Incredibles,2004,54
You were only supposed to blow the bloody doors off!,The Italian Job,1969,52
Look at the stars. The great kings of the past look down on us.,The Lion King,1994,63
The past can hurt. But you can either run from it or learn from it.,The Lion King,1994,67
"A wizard is never late, nor is he early.",The Lord of the Rings: The Fellowship of the Ring,2001,40
Even the smallest person can change the course of the future.,The Lord of the Rings: The Fellowship of the Ring,2001,61
All we have to decide is what to do with the time that is given us.,The Lord of the Rings: The Fellowship of the Ring,2001,67
The board is set. The pieces are moving.,The Lord of the Rings: The Return of the King,2003,40
"I can't carry it for you, but I can carry you.",The Lord of the Rings: The Return of the King,2003,46
"Po-ta-toes! Boil 'em, mash 'em, stick 'em in a stew.",The Lord of the Rings: The Two Towers,2002,52
"There is some good in this world, and it's worth fighting for.",The Lord of the Rings: The Two Towers,2002,62
"You take the blue pill, the story ends. You take the red pill, you stay in Wonderland.",The Matrix,1999,86
So it's not gonna be easy. It's gonna be really hard.,The Notebook,2004,53
I am nothing special; just a common man with common thoughts.,The Notebook,2004,61
Every great magic trick consists of three parts or acts.,The Prestige,2006,56
The only way to get what you want in this world is through hard work.,The Princess and the Frog,2009,69
Never get involved in a land war in Asia.,The Princess Bride,1987,41
Mawage. Mawage is wot bwings us togeder tooday.,The Princess Bride,1987,47
Hello. My name is Inigo Montoya. You killed my father. Prepare to die.,The Princess Bride,1987,70
You keep using that word. I do not think it means what you think it means.,The Princess Bride,1987,74
Don't ever let somebody tell you you can't do something.,The Pursuit of Happyness,2006,56
"This part of my life, this little part right here, is called happyness.",The Pursuit of Happyness,2006,71
Don't ever let somebody tell you that you can't do something. Not even me.,The Pursuit of Happyness,2006,74
"As long as you can still grab a breath, you fight.",The Revenant,2015,50
"Unable to perceive the shape of you, I find you all around me.",The Shape of Water,2017,62
Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,1994,50
Some birds aren't meant to be caged. Their feathers are just too bright.,The Shawshank Redemption,1994,72
"Hope is a good thing, maybe the best of things, and no good thing ever dies.",The Shawshank Redemption,1994,76
"I do wish we could chat longer, but I'm having an old friend for dinner.",The Silence of the Lambs,1991,72
A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,The Silence of the Lambs,1991,94
They don't see each other. They only see what they want to see.,The Sixth Sense,1999,63
"If you guys were the inventors of Facebook, you'd have invented Facebook.",The Social Network,2010,73
The hills are alive with the sound of music.,The Sound of Music,1965,44
There should be no boundary to human endeavor.,The Theory of Everything,2014,46
Badges? We don't need no stinking badges!,The Treasure of the Sierra Madre,1948,41
We accept the reality of the world with which we're presented.,The Truman Show,1998,62
"In case I don't see ya, good afternoon, good evening, and good night.",The Truman Show,1998,69
"They pull a knife, you pull a gun. He sends one of yours to the hospital, you send one of his to the morgue.",The Untouchables,1987,108
The greatest trick the devil ever pulled was convincing the world he didn't exist.,The Usual Suspects,1995,82
Mama said alligators are ornery 'cause they got all them teeth.,The Waterboy,1998,63
"Once again, things that could have been brought to my attention yesterday!",The Wedding Singer,1998,74
Pay no attention to that man behind the curtain.,The Wizard of Oz,1939,48
"I'll get you, my pretty, and your little dog too.",The Wizard of Oz,1939,49
"Toto, I've a feeling we're not in Kansas anymore.",The Wizard of Oz,1939,49
Click your heels together three times and say: there's no place like home.,The Wizard of Oz,1939,74
The name of the game: move the money from your client's pocket into your pocket.,The Wolf of Wall Street,2013,80
"You called down the thunder, well now you've got it!",Tombstone,1993,52
"Looking good, Billy Ray. Feeling good, Louis.",Trading Places,1983,45
Choose life. Choose a job. Choose a career. Choose a family.,Trainspotting,1996,60
"I'm the dude playing the dude, disguised as another dude.",Tropic Thunder,2008,57
"In war, young men die and old men talk. Honor the gods, love your woman, defend your country.",Troy,2004,93
Sometimes the things that may seem like bad things are actually a blessing in disguise.,Up,2009,87
"Greed, in all of its forms, has marked the upward surge of mankind.",Wall Street,1987,67
They've been planning this for a million years.,War of the Worlds,2005,47
You shut your mouth when you're talking to me!,Wedding Crashers,2005,46
Crab cakes and football. That's what Maryland does!,Wedding Crashers,2005,51
Tattoo on the lower back? Might as well be a bullseye.,Wedding Crashers,2005,54
Men and women can't be friends because the sex part always gets in the way.,When Harry Met Sally,1989,75
There is no problem so awful that you can't add some guilt to it and make it even worse.,When Harry Met Sally,1989,88
There are no two words in the English language more harmful than 'good job'.,Whiplash,2014,76
"We are the music makers, and we are the dreamers of dreams.",Willy Wonka & the Chocolate Factory,1971,59
"When given the choice between being right or being kind, choose kind.",Wonder,2017,69
"There's more to life than being really, really, ridiculously good looking.",Zoolander,2001,74
"I think there's a lot more to life than being really, really, really ridiculously good looking.",Zoolander,2001,95
